date,avg_temp_c,max_temp_c,min_temp_c,rainfall_mm,humidity_pct,wind_kmh,weather_main,solar_radiation_wm2
2024-01-01,24.0,28.0,19.0,0,39.0,18.0,Clear,887.0
2024-01-02,25.0,29.0,20.0,0,40.5,18.2,Clear,814.0
2024-01-03,18.3,22.3,13.3,0,49.7,23.5,Clear,931.0
2024-01-04,21.6,25.6,16.6,0,47.4,14.0,Clear,877.0
2024-01-05,23.6,27.6,18.6,0,62.3,23.9,Clear,945.0
2024-01-06,18.1,22.1,13.1,0,38.8,18.9,Clear,865.0
2024-01-07,23.0,27.0,18.0,0,45.3,8.6,Clear,842.0
2024-01-08,22.8,26.8,17.8,0,52.0,17.8,Clear,771.0
2024-01-09,20.0,24.0,15.0,0,53.0,17.3,Clear,961.0
2024-01-10,26.8,30.8,21.8,0,42.1,17.1,Clear,899.0
2024-01-11,24.7,28.7,19.7,0,43.6,10.9,Clear,854.0
2024-01-12,24.0,28.0,19.0,0,37.8,14.4,Clear,828.0
2024-01-13,26.6,30.6,21.6,0,41.3,3.9,Clear,904.0
2024-01-14,26.2,30.2,21.2,0,37.7,9.5,Clear,832.0
2024-01-15,26.0,30.0,21.0,0,36.4,12.8,Clear,781.0
2024-01-16,20.0,24.0,15.0,0,52.6,21.2,Clear,871.0
2024-01-17,19.5,23.5,14.5,0,20,9.7,Clear,799.0
2024-01-18,21.4,25.4,16.4,0,36.0,24.6,Clear,822.0
2024-01-19,28.3,32.3,23.3,0,25.6,19.3,Clear,810.0
2024-01-20,24.8,28.8,19.8,0,35.7,16.2,Clear,857.0
2024-01-21,24.1,28.1,19.1,0,44.7,12.7,Clear,922.0
2024-01-22,22.2,26.2,17.2,0,47.5,15.9,Clear,802.0
2024-01-23,21.0,25.0,16.0,0,51.3,25.9,Clear,858.0
2024-01-24,25.0,29.0,20.0,0,35.7,19.2,Clear,904.0
2024-01-25,19.3,23.3,14.3,0,45.9,11.6,Clear,894.0
2024-01-26,26.5,30.5,21.5,0,65.3,13.7,Clear,989.0
2024-01-27,25.5,29.5,20.5,0,39.7,11.2,Clear,972.0
2024-01-28,25.1,29.1,20.1,0,41.2,6.9,Clear,901.0
2024-01-29,17.5,21.5,12.5,0,37.0,15.1,Clear,849.0
2024-01-30,21.5,25.5,16.5,0,44.2,15.4,Clear,894.0
2024-01-31,22.2,26.2,17.2,0,54.0,14.2,Clear,938.0
2024-02-01,20.4,24.4,15.4,0,30.3,6.5,Clear,1022.0
2024-02-02,25.7,29.7,20.7,0,35.6,19.6,Clear,1017.0
2024-02-03,25.1,29.1,20.1,0,57.9,10.7,Clear,974.0
2024-02-04,15.8,19.8,10.8,0,26.2,14.0,Clear,866.0
2024-02-05,24.1,28.1,19.1,0,55.3,12.9,Clear,915.0
2024-02-06,18.7,22.7,13.7,0,32.3,26.3,Clear,906.0
2024-02-07,20.8,24.8,15.8,0,38.6,13.7,Clear,862.0
2024-02-08,26.5,30.5,21.5,0,20.5,16.6,Clear,836.0
2024-02-09,10.9,14.9,5.9,0,36.1,15.4,Clear,940.0
2024-02-10,21.4,25.4,16.4,0,46.0,26.9,Clear,996.0
2024-02-11,21.3,25.3,16.3,0,34.8,6.8,Clear,830.0
2024-02-12,22.7,26.7,17.7,0,37.8,17.3,Clear,999.0
2024-02-13,21.5,25.5,16.5,0,39.3,12.4,Clear,837.0
2024-02-14,20.5,24.5,15.5,0,31.0,18.4,Clear,971.0
2024-02-15,22.1,26.1,17.1,0,27.2,16.6,Clear,758.0
2024-02-16,21.6,25.6,16.6,0,36.9,11.6,Clear,860.0
2024-02-17,21.5,25.5,16.5,0,34.3,12.7,Clear,975.0
2024-02-18,19.9,23.9,14.9,0,37.3,14.6,Clear,847.0
2024-02-19,19.5,23.5,14.5,0,61.2,5.7,Clear,879.0
2024-02-20,18.1,22.1,13.1,0,39.3,11.2,Clear,865.0
2024-02-21,17.8,21.8,12.8,0,49.5,20.6,Clear,973.0
2024-02-22,17.7,21.7,12.7,0,36.8,11.6,Clear,956.0
2024-02-23,28.6,32.6,23.6,0,25.0,14.5,Clear,916.0
2024-02-24,21.8,25.8,16.8,0,35.7,14.5,Clear,807.0
2024-02-25,19.3,23.3,14.3,0,52.7,17.6,Clear,846.0
2024-02-26,18.2,22.2,13.2,0,33.2,13.9,Clear,899.0
2024-02-27,19.0,23.0,14.0,0,26.4,15.5,Clear,949.0
2024-02-28,18.7,22.7,13.7,0,22.0,25.1,Clear,963.0
2024-02-29,20.4,24.4,15.4,0,44.7,18.9,Clear,795.0
2024-03-01,41.9,45.9,36.9,0,22.5,10.5,Clear,872.0
2024-03-02,38.6,42.6,33.6,0,51.8,17.7,Clear,896.0
2024-03-03,37.1,41.1,32.1,0,34.0,24.6,Clear,856.0
2024-03-04,37.9,41.9,32.9,0,40.7,13.4,Clear,983.0
2024-03-05,35.8,39.8,30.8,0,44.2,20.5,Clear,1032.0
2024-03-06,39.2,43.2,34.2,0,33.2,21.4,Clear,879.0
2024-03-07,35.0,39.0,30.0,0,23.6,10.2,Clear,1063.0
2024-03-08,35.4,39.4,30.4,0,47.8,19.5,Clear,1025.0
2024-03-09,36.8,40.8,31.8,0,48.3,15.9,Clear,808.0
2024-03-10,39.4,43.4,34.4,0,52.0,13.6,Clear,1018.0
2024-03-11,37.3,41.3,32.3,0,32.2,23.4,Clear,945.0
2024-03-12,37.5,41.5,32.5,0,25.2,14.2,Clear,1013.0
2024-03-13,35.9,39.9,30.9,0,46.1,19.0,Clear,945.0
2024-03-14,39.5,43.5,34.5,0,42.7,15.9,Clear,977.0
2024-03-15,41.1,45.1,36.1,0,44.4,15.3,Clear,840.0
2024-03-16,35.3,39.3,30.3,0,44.3,2.7,Clear,936.0
2024-03-17,29.2,33.2,24.2,0,40.6,4.3,Clear,805.0
2024-03-18,37.8,41.8,32.8,0,28.1,12.9,Clear,930.0
2024-03-19,32.3,36.3,27.3,0,50.3,11.4,Clear,902.0
2024-03-20,39.3,43.3,34.3,0,39.7,10.7,Clear,901.0
2024-03-21,46.9,50.9,41.9,0,29.9,10.8,Clear,893.0
2024-03-22,36.7,40.7,31.7,0,45.7,14.9,Clear,845.0
2024-03-23,36.6,40.6,31.6,0,42.2,22.7,Clear,891.0
2024-03-24,37.5,41.5,32.5,0,28.5,15.7,Clear,869.0
2024-03-25,41.7,45.7,36.7,0,49.0,9.0,Clear,976.0
2024-03-26,40.2,44.2,35.2,0,30.4,12.9,Clear,863.0
2024-03-27,37.7,41.7,32.7,0,46.6,17.9,Clear,899.0
2024-03-28,37.9,41.9,32.9,0,27.2,26.0,Clear,838.0
2024-03-29,35.7,39.7,30.7,0,35.4,16.0,Clear,876.0
2024-03-30,41.6,45.6,36.6,0,32.7,14.1,Clear,850.0
