timestamp,intersection,vehicle_count,avg_speed_kmh,congestion_level,weather,temp_c,rain_mm,signal_phase,wait_time_sec
2024-01-01 00:00:00,Sitabuldi_Sq,114,44.0,LOW,Clear,27.8,0,YELLOW,58
2024-01-01 00:00:00,Zero_Mile,155,38.7,MEDIUM,Clouds,29.4,0,GREEN,71
2024-01-01 00:00:00,Kasturchand_Park,106,41.4,LOW,Clear,26.1,0,GREEN,52
2024-01-01 00:00:00,Variety_Sq,108,43.0,LOW,Clouds,30.8,0,GREEN,69
2024-01-01 00:00:00,LIC_Sq,96,49.9,LOW,Clouds,27.9,0,RED,46
2024-01-01 00:00:00,Empress_Mall_Sq,149,39.4,MEDIUM,Clouds,25.1,0,GREEN,51
2024-01-01 01:00:00,Sitabuldi_Sq,147,39.2,MEDIUM,Clouds,27.8,0,RED,70
2024-01-01 01:00:00,Zero_Mile,47,58.2,LOW,Clear,29.0,0,YELLOW,29
2024-01-01 01:00:00,Kasturchand_Park,87,46.0,LOW,Clear,29.5,0,YELLOW,53
2024-01-01 01:00:00,Variety_Sq,109,43.4,LOW,Rain,26.5,0.76,RED,56
2024-01-01 01:00:00,LIC_Sq,54,55.1,LOW,Clear,29.4,0,RED,18
2024-01-01 01:00:00,Empress_Mall_Sq,173,37.1,MEDIUM,Rain,26.1,0.53,YELLOW,90
2024-01-01 02:00:00,Sitabuldi_Sq,115,48.3,LOW,Clear,29.6,0,YELLOW,45
2024-01-01 02:00:00,Zero_Mile,52,55.8,LOW,Clear,28.7,0,YELLOW,18
2024-01-01 02:00:00,Kasturchand_Park,156,38.1,MEDIUM,Clear,30.5,0,GREEN,69
2024-01-01 02:00:00,Variety_Sq,111,43.7,LOW,Clear,30.5,0,RED,38
2024-01-01 02:00:00,LIC_Sq,79,52.1,LOW,Clear,31.9,0,GREEN,29
2024-01-01 02:00:00,Empress_Mall_Sq,101,46.8,LOW,Clouds,25.3,0,RED,31
2024-01-01 03:00:00,Sitabuldi_Sq,123,39.1,MEDIUM,Clear,28.4,0,RED,78
2024-01-01 03:00:00,Zero_Mile,131,41.6,MEDIUM,Clouds,29.5,0,YELLOW,56
2024-01-01 03:00:00,Kasturchand_Park,46,56.9,LOW,Clear,27.0,0,RED,18
2024-01-01 03:00:00,Variety_Sq,200,35.7,MEDIUM,Clear,27.0,0,YELLOW,87
2024-01-01 03:00:00,LIC_Sq,80,48.7,LOW,Clouds,26.3,0,YELLOW,37
2024-01-01 03:00:00,Empress_Mall_Sq,155,33.3,MEDIUM,Clouds,27.1,0,GREEN,66
2024-01-01 04:00:00,Sitabuldi_Sq,129,40.9,MEDIUM,Clouds,28.2,0,YELLOW,72
2024-01-01 04:00:00,Zero_Mile,93,47.2,LOW,Clear,26.0,0.09,YELLOW,35
2024-01-01 04:00:00,Kasturchand_Park,152,41.8,MEDIUM,Clouds,29.0,0,GREEN,65
2024-01-01 04:00:00,Variety_Sq,48,56.4,LOW,Clear,29.3,0,GREEN,20
2024-01-01 04:00:00,LIC_Sq,149,32.6,MEDIUM,Clouds,29.4,0,GREEN,86
2024-01-01 04:00:00,Empress_Mall_Sq,119,48.8,LOW,Clear,26.3,0,GREEN,55
2024-01-01 05:00:00,Sitabuldi_Sq,159,36.5,MEDIUM,Clear,28.1,0,YELLOW,73
2024-01-01 05:00:00,Zero_Mile,88,58.7,LOW,Clear,26.3,0,GREEN,44
2024-01-01 05:00:00,Kasturchand_Park,147,35.2,MEDIUM,Clouds,26.8,0,YELLOW,55
2024-01-01 05:00:00,Variety_Sq,96,51.9,LOW,Clear,32.3,0.26,GREEN,55
2024-01-01 05:00:00,LIC_Sq,41,61.7,LOW,Clouds,25.6,0,RED,11
2024-01-01 05:00:00,Empress_Mall_Sq,76,53.2,LOW,Clouds,27.5,0,RED,22
2024-01-01 06:00:00,Sitabuldi_Sq,156,30.3,MEDIUM,Clouds,29.2,0,GREEN,60
2024-01-01 06:00:00,Zero_Mile,84,51.7,LOW,Clear,28.6,0,RED,52
2024-01-01 06:00:00,Kasturchand_Park,64,52.8,LOW,Clear,30.1,0,YELLOW,46
2024-01-01 06:00:00,Variety_Sq,112,50.4,LOW,Clear,28.2,0,GREEN,55
2024-01-01 06:00:00,LIC_Sq,111,48.8,LOW,Clouds,25.9,0,YELLOW,52
2024-01-01 06:00:00,Empress_Mall_Sq,155,35.5,MEDIUM,Clear,26.8,0,RED,72
2024-01-01 07:00:00,Sitabuldi_Sq,265,17.7,HIGH,Clouds,27.5,0,RED,125
2024-01-01 07:00:00,Zero_Mile,276,12.3,HIGH,Rain,27.3,0.92,GREEN,133
2024-01-01 07:00:00,Kasturchand_Park,207,26.1,HIGH,Clear,27.0,0,GREEN,107
2024-01-01 07:00:00,Variety_Sq,237,24.0,HIGH,Clouds,27.2,0,RED,110
2024-01-01 07:00:00,LIC_Sq,198,34.3,MEDIUM,Clouds,27.5,0,GREEN,98
2024-01-01 07:00:00,Empress_Mall_Sq,341,5,CRITICAL,Clear,27.7,0,YELLOW,169
2024-01-01 08:00:00,Sitabuldi_Sq,249,21.1,HIGH,Clouds,26.5,0,GREEN,125
2024-01-01 08:00:00,Zero_Mile,223,27.0,HIGH,Clear,32.3,0,YELLOW,105
2024-01-01 08:00:00,Kasturchand_Park,259,19.3,HIGH,Clear,29.7,0,RED,113
2024-01-01 08:00:00,Variety_Sq,336,5,CRITICAL,Clouds,24.5,0,YELLOW,156
2024-01-01 08:00:00,LIC_Sq,258,20.9,HIGH,Clear,27.6,0,YELLOW,122
2024-01-01 08:00:00,Empress_Mall_Sq,299,11.0,CRITICAL,Clear,29.0,0,YELLOW,116
2024-01-01 09:00:00,Sitabuldi_Sq,270,15.5,HIGH,Clear,24.8,0,RED,134
2024-01-01 09:00:00,Zero_Mile,305,6.9,CRITICAL,Clear,25.9,0.48,RED,130
2024-01-01 09:00:00,Kasturchand_Park,252,21.1,HIGH,Clear,29.5,0,GREEN,120
2024-01-01 09:00:00,Variety_Sq,254,17.6,HIGH,Clear,27.9,0,YELLOW,114
2024-01-01 09:00:00,LIC_Sq,252,18.0,HIGH,Clear,25.2,0,YELLOW,118
2024-01-01 09:00:00,Empress_Mall_Sq,288,14.3,CRITICAL,Clear,25.2,0,GREEN,128
2024-01-01 10:00:00,Sitabuldi_Sq,106,44.0,LOW,Clear,28.1,0,GREEN,49
2024-01-01 10:00:00,Zero_Mile,39,59.7,LOW,Clear,25.2,0,GREEN,10
2024-01-01 10:00:00,Kasturchand_Park,117,43.7,LOW,Clear,28.0,0,YELLOW,63
2024-01-01 10:00:00,Variety_Sq,209,23.6,HIGH,Clouds,28.6,0,YELLOW,101
2024-01-01 10:00:00,LIC_Sq,153,41.5,MEDIUM,Clear,27.8,0,YELLOW,56
2024-01-01 10:00:00,Empress_Mall_Sq,78,45.1,LOW,Clouds,29.9,0,GREEN,42
2024-01-01 11:00:00,Sitabuldi_Sq,86,50.8,LOW,Clear,26.6,0,YELLOW,39
2024-01-01 11:00:00,Zero_Mile,162,35.3,MEDIUM,Clear,29.6,0,YELLOW,77
2024-01-01 11:00:00,Kasturchand_Park,142,40.6,MEDIUM,Clear,29.1,0,RED,60
2024-01-01 11:00:00,Variety_Sq,123,38.9,MEDIUM,Clouds,30.2,0,RED,64
2024-01-01 11:00:00,LIC_Sq,84,52.7,LOW,Clear,28.1,0,YELLOW,47
2024-01-01 11:00:00,Empress_Mall_Sq,107,45.2,LOW,Clear,24.4,0,RED,46
2024-01-01 12:00:00,Sitabuldi_Sq,165,33.0,MEDIUM,Clouds,30.6,0,YELLOW,69
2024-01-01 12:00:00,Zero_Mile,124,36.3,MEDIUM,Clear,27.1,0,RED,64
2024-01-01 12:00:00,Kasturchand_Park,141,40.6,MEDIUM,Clear,29.4,0,RED,52
2024-01-01 12:00:00,Variety_Sq,190,30.9,MEDIUM,Clouds,24.2,0,RED,97
2024-01-01 12:00:00,LIC_Sq,126,42.5,MEDIUM,Clouds,28.7,0,GREEN,64
2024-01-01 12:00:00,Empress_Mall_Sq,125,40.9,MEDIUM,Clouds,27.0,0,RED,66
2024-01-01 13:00:00,Sitabuldi_Sq,105,46.3,LOW,Clear,26.8,0,RED,61
2024-01-01 13:00:00,Zero_Mile,168,35.3,MEDIUM,Clear,28.3,0,YELLOW,85
2024-01-01 13:00:00,Kasturchand_Park,109,46.7,LOW,Clouds,30.5,0,YELLOW,46
2024-01-01 13:00:00,Variety_Sq,87,48.1,LOW,Clear,27.4,0,RED,33
2024-01-01 13:00:00,LIC_Sq,154,41.2,MEDIUM,Clear,29.2,0,RED,74
2024-01-01 13:00:00,Empress_Mall_Sq,70,48.2,LOW,Clear,27.4,0,RED,21
2024-01-01 14:00:00,Sitabuldi_Sq,52,51.2,LOW,Clear,28.3,0,RED,12
2024-01-01 14:00:00,Zero_Mile,164,30.9,MEDIUM,Clear,31.5,0,YELLOW,84
2024-01-01 14:00:00,Kasturchand_Park,102,44.3,LOW,Clear,26.2,0,RED,46
2024-01-01 14:00:00,Variety_Sq,75,56.7,LOW,Clear,27.5,0,RED,47
2024-01-01 14:00:00,LIC_Sq,152,35.5,MEDIUM,Clear,27.5,0,RED,66
2024-01-01 14:00:00,Empress_Mall_Sq,122,43.9,MEDIUM,Clear,31.0,0,RED,42
2024-01-01 15:00:00,Sitabuldi_Sq,128,45.8,MEDIUM,Clear,27.9,0,YELLOW,55
2024-01-01 15:00:00,Zero_Mile,147,39.1,MEDIUM,Clear,28.9,0,RED,68
2024-01-01 15:00:00,Kasturchand_Park,145,38.2,MEDIUM,Clear,30.6,0,RED,84
2024-01-01 15:00:00,Variety_Sq,110,45.5,LOW,Clear,29.2,0,YELLOW,47
2024-01-01 15:00:00,LIC_Sq,94,55.0,LOW,Clouds,25.8,0,RED,39
2024-01-01 15:00:00,Empress_Mall_Sq,164,35.9,MEDIUM,Clear,28.6,0,GREEN,78
